address,time_in,time_out,lp_tokens_deposited
0x26859cca6e07d96d8c69c1d699abfb1e88fec4c1,1632240982,1632240982,32661575267165061478248
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632241027,1632241027,5218000000000000000000
0x92b9abc4fd0a6d3c3ca8118346b8a61feba7910c,1632241189,1632241189,15000666666666666627536
0xab69344649bde3e71374d089506fd790bedcf64c,1632241529,1632241529,25000000000000000000000
0xb2801900fb83990284f394ae48182602c3c7fc51,1632241605,1632241605,591049999999997635800
0x29e262bb27d945b2643b4947954ddace9a412688,1632241723,1632241723,1000000000000000000000
0x743fd6d924ae32ccddb377f11d43129cdd0d0d00,1632241798,1632241798,5815166666666666643406
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632241854,1632241854,280063765317296436110
0x089a180a1fdf7bef50d1ba45b5456e14f6e44255,1632241899,1632241899,2038136119358830730497
0x5d2b7f517ea0c3a68e58c32f97b2b2c080ea3d6f,1632242612,1632242612,12062533333333322070176
0x0221c3cdb3dc4ffddb0564227d205b7f0cbac1cf,1632243083,1632243083,29766333333333333214268
0x2dde86634921a42b3c662c1c99cda8301cdfd273,1632243136,1632243136,8037386358939362125251
0x99954f7561577f2f683054c949c839fcafa0ae7a,1632243422,1632243422,24533830000000000000000
0x2b5321c1afddfb6680aafff4df96a209e18dea1c,1632243429,1632243429,24000916358939298271131
0x3ef7411383970b54bedec99ddd04b93159293efb,1632243761,1632243761,24029161020269779569506
0xd54faafbe111157eed25bb8b2ed1402a0f921210,1632243995,1632243995,12586833333333333282986
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632244039,1632244039,7560000000000000000000
0xdfe7ad3e0cc6fb0798e66c67c72927c49fc42478,1632244205,1632244205,17053563952296437494437
0xb76ad9b3b5da12cf3214aea433ec25751d340a4c,1632246046,1632246046,2115666666666666658204
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632246153,1632246153,186253965418037701870138
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632246153,1632246153,35000000000000000000000
0x6b650ca58d7b7f1525c362ee1bb380df6140c766,1632246153,1632246153,186253965418037701870138
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632246309,1632246309,184157383213410885948995
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632246309,1632246309,55000000000000000000000
0x6b650ca58d7b7f1525c362ee1bb380df6140c766,1632246309,1632246309,184157383213410885948995
0x8c56ca4f7eb12a7c217bbe36cc427a9dcb66f590,1632246309,1632246309,15000000000000000000000
0x7cbeab8adc6ce442b5640592134af57eef4bb5a5,1632246406,1632246406,10000000000000000000000
